,NOME_REG,"ATECO 10,11 [t]",Totale industria,Peso industria
0,Abruzzo,120290,2934286,4.1
1,Basilicata,31523,2314039,1.36
2,Calabria,58650,2212084,2.65
3,Campania,268370,8436752,3.18
4,EmiliaRomagna,450739,13832669,3.26
5,FriuliVeneziaGiulia,58372,4218735,1.38
6,Lazio,150106,10164452,1.48
7,Liguria,65361,2834408,2.31
8,Lombardia,583028,33540168,1.74
9,Marche,82223,3743696,2.2
10,Molise,1783,601719,0.3
11,Piemonte,303313,11896872,2.55
12,Puglia,204122,11388162,1.79
13,Sardegna,68707,3070948,2.24
14,Sicilia,182281,7373307,2.47
15,Toscana,169661,10086823,1.68
16,TrentinoAltoAdige,89331,4686283,1.91
17,Umbria,61553,3001267,2.05
18,ValledAosta,7444,292639,2.54
19,Veneto,408277,17345015,2.35
