,NOME_REG,EER 02 [t],Totale rifiuti,Peso rifiuti
0,Abruzzo,82006,2934286,2.79
1,Basilicata,27974,2314039,1.21
2,Calabria,55619,2212084,2.51
3,Campania,233689,8436752,2.77
4,EmiliaRomagna,522467,13832669,3.78
5,FriuliVeneziaGiulia,51206,4218735,1.21
6,Lazio,141860,10164452,1.4
7,Liguria,60285,2834408,2.13
8,Lombardia,492142,33540168,1.47
9,Marche,79563,3743696,2.13
10,Molise,16282,601719,2.71
11,Piemonte,242955,11896872,2.04
12,Puglia,205229,11388162,1.8
13,Sardegna,66003,3070948,2.15
14,Sicilia,185530,7373307,2.52
15,Toscana,147575,10086823,1.46
16,TrentinoAltoAdige,103159,4686283,2.2
17,Umbria,58999,3001267,1.97
18,ValledAosta,6741,292639,2.3
19,Veneto,336147,17345015,1.94
